Job,Skills
Python Developer,"python flask sql git html css"
Data Scientist,"python pandas numpy machine learning tensorflow sql"
Machine Learning Engineer,"python tensorflow pytorch machine learning deep learning"
Frontend Developer,"html css javascript react bootstrap"
Backend Developer,"python django flask mysql api"
Full Stack Developer,"html css javascript react node flask sql"
AI Engineer,"python artificial intelligence deep learning nlp tensorflow"
Data Analyst,"excel sql power bi tableau python pandas"
Cloud Engineer,"aws docker kubernetes linux python"
Cyber Security Analyst,"network security wireshark linux python ethical hacking"
